Category,System Model,System Mfg,Part Mfg,Comments,Part Number,Part/Item Name,Condition,Listing Type,Request Type,Price,Quantity,Listing ID (Leave Blank to Add)
"INJECTOR","INJECTOR","","","0120-88-3981 CONTROL CONSOLE","0120-88-3981","0120-88-3981 CONTROL CONSOLE","used","For Sale","","","1",
"CT","CT","","SIEMENS","DLP100-24-1/E Lambda. FLASH","DLP100-24-1","DLP100-24-1/E Lambda. FLASH","used","For Sale","","","1",
"MRI","MRI","","SIEMENS","V512 V2.1. SYMPHONY","V512","V512 V2.1. SYMPHONY","used","For Sale","","","1",
"CT","CT","","PHILIPS","7129575 D701. MX8000","7129575","7129575 D701. MX8000","used","For Sale","","","1",
"CATH","CATH","","GE","SANMOTION DC Servo Systems motor with model number T720-109E1.6N and part number 100725030RA.. SANMOTION","T720-109E1.6N","SANMOTION DC Servo Systems motor with model number T720-109E1.6N and part number 100725030RA.. SANMOTION","used","For Sale","","","1",
"CT","CT","","TOSHIBA","AQUILION HV CABLE. with a visible part number 10645 on a label.. TOSHIBA","AQUILION","AQUILION HV CABLE. with a visible part number 10645 on a label.. TOSHIBA","used","For Sale","","","1",
"CATH","CATH","","SIEMENS","5471789 D54. SIEMENS","5471789","5471789 D54. SIEMENS","used","For Sale","","","1",
"CATH","CATH","","SIEMENS","SIEMENS medical equipment part with model number 10046869.. SIEMENS ZEE","10046869","SIEMENS medical equipment part with model number 10046869.. SIEMENS ZEE","used","For Sale","","","1",
"X-RAY","X-RAY","","GE","46-232834G1-E DRIVE CONTROL. AMX4+","46-232834G1-E","46-232834G1-E DRIVE CONTROL. AMX4+","used","For Sale","","","1",
"CATH","CATH","","SIEMENS","SEAGATE CHEETAH ST318406LW HDD. ARTIS FA","ST318406LW ","SEAGATE CHEETAH ST318406LW HDD. ARTIS FA","used","For Sale","","","1",
"CT","CT","","PHILIPS","453567110313 GHOST BASE BD. BRILLIANCE","453567110313","453567110313 GHOST BASE BD. BRILLIANCE","used","For Sale","","","1",
"CATH","CATH","","PHILIPS","45220900702 COMBO. ALLURA 15","45220900702","45220900702 COMBO. ALLURA 15","used","For Sale","","","1",
"CT","CT","","PHILIPS ","DPPC 173867 REV D . PICKER","173867","DPPC 173867 REV D . PICKER","used","For Sale","","","1",
"CATH","CATH","","PHILIPS","medical equipment part, possibly a control module (CuBe), with part numbers 4512 204 00524 and 4512-178-00968 visible.. PHILIPS","451220400524","medical equipment part, possibly a control module (CuBe), with part numbers 4512 204 00524 and 4512-178-00968 visible.. PHILIPS","used","For Sale","","","1",
"CATH","CATH","","SIEMENS","6SE3013-4BA00 SIMOVERT MICRO MASTER. SIEMENS","6SE3013-4BA00","6SE3013-4BA00 SIMOVERT MICRO MASTER. SIEMENS","used","For Sale","","","1",
"CT","CT","","TOSHIBA","D-Control PC WITH model number PX74-08766-5.. TOSHIBA","PX74-08766-5","D-Control PC WITH model number PX74-08766-5.. TOSHIBA","used","For Sale","","","1",
"CT","CT","","PHILIPS","BIG BORE OVATION TAPE SWITCH TRANSITIONcontrol within a larger medical device. 453567489431. PHILIPS","453567489431","BIG BORE OVATION TAPE SWITCH TRANSITIONcontrol within a larger medical device. 453567489431. PHILIPS","used","For Sale","","","1",
"X-RAY","X-RAY","","SIEMENS","8609364 HV TANK. ICONOS R200","8609364","8609364 HV TANK. ICONOS R200","used","For Sale","","","1",
"CT","CT","","TOSHIBA","KOLLMORGEN 1000-0117-00 REV M. TOSHIBA","1000-0117-00 ","KOLLMORGEN 1000-0117-00 REV M. TOSHIBA","used","For Sale","","","1",
"CATH","CATH","","SIEMENS","8593329 D132. SIEMENS","8593329","8593329 D132. SIEMENS","used","For Sale","","","1",
"MRI","MRI","","HITACHI","GT3 5V5A COSEL. HITACHI","GT3 5V5A ","GT3 5V5A COSEL. HITACHI","used","For Sale","","","1",
"X-RAY","X-RAY","","SIEMENS","0468256 COLLIMATOR 2006. ICONOS R200","468256","0468256 COLLIMATOR 2006. ICONOS R200","used","For Sale","","","1",
"X-RAY","X-RAY","","SIEMENS","3073710 D14. SIEMENS","3073710","3073710 D14. SIEMENS","used","For Sale","","","1",
"CT","CT","","GE","5147442 R9 DARC2 - GDAS. ","5147442","5147442 R9 DARC2 - GDAS. ","used","For Sale","","","1",
"CT","CT","",""," industrial control equipment part, P/N 195N1028, with input 3x380-480V 50/60Hz 2.6A and output 3x0-Uin 0-1000Hz 3.0A 2.0 kVA.","195N1028"," industrial control equipment part, P/N 195N1028, with input 3x380-480V 50/60Hz 2.6A and output 3x0-Uin 0-1000Hz 3.0A 2.0 kVA.","used","For Sale","","","1",
"CT","CT","","SIEMENS","TDK-Lambda NV-Power NV-350 Power Supply with Siemens Model Number 08366432.. SIEMENS Flash","8366432","TDK-Lambda NV-Power NV-350 Power Supply with Siemens Model Number 08366432.. SIEMENS Flash","used","For Sale","","","1",
"CT","CT","","TOSHIBA","N860-8533-T012 BSX74-1442-02 AQ16 KEYBOARD. TOSHIBA","N860-8533-T012","N860-8533-T012 BSX74-1442-02 AQ16 KEYBOARD. TOSHIBA","used","For Sale","","","1",
"C-ARM","C-ARM","","PHILIPS","MDO709BRM TG17FM Monitor MDO709BRM TG17FM Monitor 989601002992. PHILIPS","MDO709BRM","MDO709BRM TG17FM Monitor MDO709BRM TG17FM Monitor 989601002992. PHILIPS","used","For Sale","","","1",
"CATH","CATH","","SIEMENS","3769796. SIEMENS","3769796","3769796. SIEMENS","used","For Sale","","","1",
"CATH","CATH","",""," Groschopp motor with part number Nr. 8398634 and WK 1541302, operating at 24V and 50W.","8398634"," Groschopp motor with part number Nr. 8398634 and WK 1541302, operating at 24V and 50W.","used","For Sale","","","1",
"CT","CT","","PHILIPS ","WESTCOR MM5-1611-1 POWER SUPPLY. PICKER","MM5-1611-1 ","WESTCOR MM5-1611-1 POWER SUPPLY. PICKER","used","For Sale","","","1",
"CT","CT","","PHILIPS","85224055 rev G backplane. MX8000","85224055","85224055 rev G backplane. MX8000","used","For Sale","","","1",
"MRI","MRI","","PHILIPS ","ACHIEVA patient team transpot table top 452213161981. Phillips","","ACHIEVA patient team transpot table top 452213161981. Phillips","used","For Sale","","","1",
"CT","CT","","PHILIPS","This PHILIPS Medical Systems part has a model number of 453567368731 and the secondary model number is 4535 673 48651 Rev: C.. PHILIPS","453567368731","This PHILIPS Medical Systems part has a model number of 453567368731 and the secondary model number is 4535 673 48651 Rev: C.. PHILIPS","used","For Sale","","","1",
"CR/PRINTER","CR/PRINTER","","KODAK","78-8094-5102-0. KODAK","78-8094-5102-0","78-8094-5102-0. KODAK","used","For Sale","","","1",
"CT","CT","","PHILIPS","Philips medical equipment board with part number 453567098101.. PHILIPS","453567098101","Philips medical equipment board with part number 453567098101.. PHILIPS","used","For Sale","","","1",
"CT","CT","","PHILIPS","BIG BORE power supply unit, likely for diagnostic imaging, featuring part number ETFT3.3SC300 RIC S SBI4.2.. PHILIPS","ETFT3.3SC300","BIG BORE power supply unit, likely for diagnostic imaging, featuring part number ETFT3.3SC300 RIC S SBI4.2.. PHILIPS","used","For Sale","","","1",
"MRI","MRI","","GE ","green printed wiring board (PWB) with the part number 2281039 REV 0.. GE EXCITE","2281039","green printed wiring board (PWB) with the part number 2281039 REV 0.. GE EXCITE","used","For Sale","","","1",
"MRI","MRI","","GE","5138076 MFD 09/2009 W. 5138035-3 CTRL BD. GE","5138076","5138076 MFD 09/2009 W. 5138035-3 CTRL BD. GE","used","For Sale","","","1",
"CT","CT","","PHILIPS ","177851 XSC+ ASSY. PICKER","177851","177851 XSC+ ASSY. PICKER","used","For Sale","","","1",
"CATH","CATH","","GE","KONSTANTER PS J203B. GE","KONSTANTER","KONSTANTER PS J203B. GE","used","For Sale","","","1",
"CATH","CATH","","SIEMENS","2172298 2162298  II Power Supply. ARTIS ANGIO","2172298","2172298 2162298  II Power Supply. ARTIS ANGIO","used","For Sale","","","1",
"CT","CT","","PHILIPS","Philips Revolution Counter Board PN 453567441921 453567441911. BRILLIANCE","453567441921","Philips Revolution Counter Board PN 453567441921 453567441911. BRILLIANCE","used","For Sale","","","1",
"CT","CT","","SIEMENS","PLUS 4 3102458 D118. SIEMENS","3102458","PLUS 4 3102458 D118. SIEMENS","used","For Sale","","","1",
"ULTRASOUND","ULTRASOUND","","TOSHIBA","Pm30-17745 A/STC. TOSHIBA","30-17745","Pm30-17745 A/STC. TOSHIBA","used","For Sale","","","1",
"CATH","CATH","","GE","LYTRON RC7141G5 COOLIX 4000. INNOVA 2100IQ","RC7141G5 ","LYTRON RC7141G5 COOLIX 4000. INNOVA 2100IQ","used","For Sale","","","1",
"CATH","CATH","","PHILIPS","451210768426. PHILIPS","451210768426","451210768426. PHILIPS","used","For Sale","","","1",
"CATH","CATH","","PHILIPS","HDD B03B-7165-B101AN M2652SA. PHILIPS","B03B-7165-B101AN","HDD B03B-7165-B101AN M2652SA. PHILIPS","used","For Sale","","","1",
"NUCLEAR","NUCLEAR","","SIEMENS","7838555 8417151. SYMBIAT2","7838555","7838555 8417151. SYMBIAT2","used","For Sale","","","1",
"MRI","MRI","","HITACHI","Coil - . APERTO","Shoulder Coil","Coil - . APERTO","used","For Sale","","","1",
"CT","CT","","TOSHIBA","LEFT  AND RIGHT KEY CONTROLS ON COVER YWM1299. AQ 32","YWM1299","LEFT  AND RIGHT KEY CONTROLS ON COVER YWM1299. AQ 32","used","For Sale","","","1",
"CT","CT","","GE","GE scan control module, GE PN: 2275758 andpart number 9375-00187-019/B, manufactured for General Electric Company.. GE","2275758","GE scan control module, GE PN: 2275758 andpart number 9375-00187-019/B, manufactured for General Electric Company.. GE","used","For Sale","","","1",
"MRI","MRI","","HITACHI","MR-QFC-83AN LARGE FLEX BODY. APERTO","MR-QFC-83AN","MR-QFC-83AN LARGE FLEX BODY. APERTO","used","For Sale","","","1",
"CATH","CATH","","GE","medical equipment regulation and interface power board with part number 2342475 REV.003.. GE","2342475","medical equipment regulation and interface power board with part number 2342475 REV.003.. GE","used","For Sale","","","1",
"C-Arm","C-Arm","","","This Delta Electronics power supply, model DPS-337AB-1, is likely used in Kodak X-Ray equipment, with part number 6C0847.","DPS-337AB-1","This Delta Electronics power supply, model DPS-337AB-1, is likely used in Kodak X-Ray equipment, with part number 6C0847.","used","For Sale","","","1",
"CT","CT","","PHILIPS","medical equipment circuit board with part number 55000536-05 H and PN:(1P) 50000490-05.. TEC","55000536-05","medical equipment circuit board with part number 55000536-05 H and PN:(1P) 50000490-05.. TEC","used","For Sale","","","1",
"MRI","MRI","","GE","5105270 SRI-3. GE","5105270","5105270 SRI-3. GE","used","For Sale","","","1",
"CATH","CATH","","SIEMENS","10848402 TABLE SIDE CONTROL. ARTIS ONE","10848402","10848402 TABLE SIDE CONTROL. ARTIS ONE","used","For Sale","","","1",
"PET/CT","PET/CT","",""," medical equipment circuit board with part number FA-R63P4-000/2 and 0647-19023 visible.","FA-R63P4-000"," medical equipment circuit board with part number FA-R63P4-000/2 and 0647-19023 visible.","used","For Sale","","","1",
"PET/CT","PET/CT","","GE","01-W3839F 24A SBC MVME2400. DLS4","01-W3839F","01-W3839F 24A SBC MVME2400. DLS4","used","For Sale","","","1",
"CATH","CATH","","GE","5870 SD16B/SD17B SERIES DIFFERENTIAL CONVERTER. GE","5870","5870 SD16B/SD17B SERIES DIFFERENTIAL CONVERTER. GE","used","For Sale","","","1",
"NUCLEAR","NUCLEAR","","PHILIPS ","453567945931 GCCB/CPM. PRECEDENCE","453567945931","453567945931 GCCB/CPM. PRECEDENCE","used","For Sale","","","1",
"CATH","CATH","","SIEMENS","VIDEOMED HD 1281992 TZ. SIEMENS","1281992","VIDEOMED HD 1281992 TZ. SIEMENS","used","For Sale","","","1",
"CATH","CATH","","PHILIPS ","Philips Medical Systems review module, manufactured by Interface Technologies/Esterline, with MFG'S PART #: 9375-00228-304/3 and REF: 989600200542.. Philips Medical Systems/Esterline","MFG","Philips Medical Systems review module, manufactured by Interface Technologies/Esterline, with MFG'S PART #: 9375-00228-304/3 and REF: 989600200542.. Philips Medical Systems/Esterline","used","For Sale","","","1",
"X-RAY","X-RAY","","SIEMENS","10092604 COLLIMATOR. ARISTOS","10092604","10092604 COLLIMATOR. ARISTOS","used","For Sale","","","1",
"CT","CT","","PHILIPS ","TABLE HEAD EXTENSION 4779141. Philips MX8000","4779141","TABLE HEAD EXTENSION 4779141. Philips MX8000","used","For Sale","","","1",
"MONITOR","MONITOR","","PHILIPS ","Philips Healthcare monitor with model number 019CS and part number 4519 205 51111.. Philips Healthcare","019CS","Philips Healthcare monitor with model number 019CS and part number 4519 205 51111.. Philips Healthcare","used","For Sale","","","1",
"CATH","CATH","","SIEMENS","4371063 PCI. SIEMENS","4371063","4371063 PCI. SIEMENS","used","For Sale","","","1",
"CATH","CATH","","TOSHIBA","PDS-BX02TMS PA03382-B751 COMPUTER IN CABINET. INFX-8000C/DFP-8000A","PDS-BX02TMS","PDS-BX02TMS PA03382-B751 COMPUTER IN CABINET. INFX-8000C/DFP-8000A","used","For Sale","","","1",
"CATH","CATH","","GE ","part number 2256439-2-001-SN:1222-38/05 and includes connectors labeled J205, J206, J211 and J212.. GE INNOVA3100","2256439-2","part number 2256439-2-001-SN:1222-38/05 and includes connectors labeled J205, J206, J211 and J212.. GE INNOVA3100","used","For Sale","","","1",
"CT","CT","","GE","This GE Medical Systems RTAC6atlas Processor, part number 5123549, was manufactured in July 2005.. GE","RTAC6 5123549","This GE Medical Systems RTAC6atlas Processor, part number 5123549, was manufactured in July 2005.. GE","used","For Sale","","","1",
"X-RAY","X-RAY","","SIEMENS","Trixell Pixium FE 3543 PR X-Ray detector part with part number 62840578 rev :A and Siemens Part number 10281026. Siemens Ysio","62840578 Pixium FE 3543","Trixell Pixium FE 3543 PR X-Ray detector part with part number 62840578 rev :A and Siemens Part number 10281026. Siemens Ysio","used","For Sale","","","1",
"CATH","CATH","","PHILIPS","452212702562. PHILIPS","452212702562","452212702562. PHILIPS","used","For Sale","","","1",
"C-ARM","C-ARM","","GE","SI-9200 00-900710-01 STANGENES INDUSTRIES. OEC","SI-9200","SI-9200 00-900710-01 STANGENES INDUSTRIES. OEC","used","For Sale","","","1",
"CT","CT","","SIEMENS","KEBA Industrial Automation component, type CDF30.008, C3.6, with Material-Nr.: 10962161 and Serial Number SN: 244701709.. SIEMENS Flash","10962161","KEBA Industrial Automation component, type CDF30.008, C3.6, with Material-Nr.: 10962161 and Serial Number SN: 244701709.. SIEMENS Flash","used","For Sale","","","1",
"CT","CT","","PHILIPS","blue medical equipment circuit board with part number APN:10A0079 21140042, featuring Panasonic relays.. Panasonic","10A0079 ","blue medical equipment circuit board with part number APN:10A0079 21140042, featuring Panasonic relays.. Panasonic","used","For Sale","","","1",
"NUCLEAR","NUCLEAR","","SIEMENS","SAF 526310003. SYMBIAT CT","526310003","SAF 526310003. SYMBIAT CT","used","For Sale","","","1",
"MRI","MRI","","HITACHI","Hitachi Medical Corp. circuit board, identified by the part number YN4019-A / PB2 SCDRU and the label PR1712405.. HITACHI","YN4019-A","Hitachi Medical Corp. circuit board, identified by the part number YN4019-A / PB2 SCDRU and the label PR1712405.. HITACHI","used","For Sale","","","1",
"CATH","CATH","","GE","2113448. GE","2113448","2113448. GE","used","For Sale","","","1",
"PET/CT","PET/CT","","PHILIPS","724-746-5500 FO CABLE. GEMINI TF","724-746-5500","724-746-5500 FO CABLE. GEMINI TF","used","For Sale","","","1",
"CATH","CATH","","SIEMENS","ST34573N HDD SEAGATE POLYTRON. POLYTRON","ST34573N","ST34573N HDD SEAGATE POLYTRON. POLYTRON","used","For Sale","","","1",
"MRI Part","MRI Part","","","connector panel with various ports labeled J1-J8, likely for an MRI system.","J1-J8","connector panel with various ports labeled J1-J8, likely for an MRI system.","used","For Sale","","","1",
"PET/CT","PET/CT","","GE","46-288737P1 REV 2 I/O. DLS4","46-288737P1","46-288737P1 REV 2 I/O. DLS4","used","For Sale","","","1",
"CATH","CATH","","GE","46-232230G1 ROTATOR CONTROL. GE","46-232230G1","46-232230G1 ROTATOR CONTROL. GE","used","For Sale","","","1",
"CR/PRINTER","CR/PRINTER","","FUJI","113Y7047. FUJI","113Y7047","113Y7047. FUJI","used","For Sale","","","1",
"MRI","MRI","","HITACHI","HIPDM CC4100-S13. HITACHI MRP7000","CC4100-S13","HIPDM CC4100-S13. HITACHI MRP7000","used","For Sale","","","1",
"PET/CT","PET/CT","","GE","RECON BOX RB1133 IN DLS4 CONSOLE. DLS4","RECON RB1133 ","RECON BOX RB1133 IN DLS4 CONSOLE. DLS4","used","For Sale","","","1",
"CATH","CATH","","SIEMENS","7558849 DATA DISPLAY MONITOR. ARTIS ZEE","7558849","7558849 DATA DISPLAY MONITOR. ARTIS ZEE","used","For Sale","","","1",
"MRI","MRI","","GE","code 105.662.fc 42V. GE","105.662.fc","code 105.662.fc 42V. GE","used","For Sale","","","1",
"C-ARM","C-ARM","","SIEMENS","ARCADIA ORBIC CONSOLE COMPUTER part number 10928010.. SIEMENS","10928010","ARCADIA ORBIC CONSOLE COMPUTER part number 10928010.. SIEMENS","used","For Sale","","","1",
"CATH","CATH","","GE ","2173587-1 2117655-2. GE ADVANTIX","2173587-1","2173587-1 2117655-2. GE ADVANTIX","used","For Sale","","","1",
"X-RAY","X-RAY","","GE","Superbee Collimator manufactured by Tianjin Songhua Machinery and Electric Co., has a model number of 5396306 and a serial number of SH2012-0676.. GE","5396306","Superbee Collimator manufactured by Tianjin Songhua Machinery and Electric Co., has a model number of 5396306 and a serial number of SH2012-0676.. GE","used","For Sale","","","1",
"MRI","MRI","","GE ","HK-15A-5/A HK15A-5. GE CONTOUR","HK-15A-5","HK-15A-5/A HK15A-5. GE CONTOUR","used","For Sale","","","1",
"CATH","CATH","","SIEMENS","3066201 ACSD2. COROSKOP","3066201","3066201 ACSD2. COROSKOP","used","For Sale","","","1",
"CT","CT","","SIEMENS","This SCHLEIFRING CT Brush part, is labeled with SAF P/N 622909840 Rev B.. SCHLEIFRING","622909840","This SCHLEIFRING CT Brush part, is labeled with SAF P/N 622909840 Rev B.. SCHLEIFRING","used","For Sale","","","1",
"UPS","UPS","","PHILIPS","power supply or UPS system, likely related to medical equipment, featuring 20A output breakers, a 72Vdc 37A battery connector, USB and interface ports, and a part number possibly including 2206000281PH453.. DELTA ELECTRONICS","2206000281PH453","power supply or UPS system, likely related to medical equipment, featuring 20A output breakers, a 72Vdc 37A battery connector, USB and interface ports, and a part number possibly including 2206000281PH453.. DELTA ELECTRONICS","used","For Sale","","","1",
"CT","CT","","SIEMENS","PC Component XMITR with S/N AA0039088 and MPN 500-094.. Unknown","500-094.","PC Component XMITR with S/N AA0039088 and MPN 500-094.. Unknown","used","For Sale","","","1",
"CT","CT","","SIEMENS","Siemens medical equipment part with model number 10393100.. SIEMENS Flash","10393100","Siemens medical equipment part with model number 10393100.. SIEMENS Flash","used","For Sale","","","1",
"X-RAY","X-RAY","","SIEMENS","9722059 remote control. ICONOS 200","9722059","9722059 remote control. ICONOS 200","used","For Sale","","","1",
"MRI","MRI","","GE","5333362 RUN #M1508 MG2-A41-J21 5 METERS CABLE. GE","5333362","5333362 RUN #M1508 MG2-A41-J21 5 METERS CABLE. GE","used","For Sale","","","1",
"CATH","CATH","","PHILIPS","\18\ \  LCD MLCD18-AB PER 991932051573\  . ALLURA 15","MLCD18-AB","\18\ \  LCD MLCD18-AB PER 991932051573\  . ALLURA 15","used","For Sale","","","1",
"CR/PRINTER","CR/PRINTER","","KONICA","0465729028 046572902B. Konica 752","465729028","0465729028 046572902B. Konica 752","used","For Sale","","","1",
"CT","CT","","GE","P9141WJ ODC2. GE","P9141WJ","P9141WJ ODC2. GE","used","For Sale","","","1",
"CATH","CATH","","PHILIPS","452212910261 989600036666. PHILIPS","452212910261","452212910261 989600036666. PHILIPS","used","For Sale","","","1",
"C-ARM","C-ARM","","SIEMENS","2844897 CAMERA DC-60HZ. SIREMOBILE","2844897","2844897 CAMERA DC-60HZ. SIREMOBILE","used","For Sale","","","1",
"CATH","CATH","","PHILIPS ","45221082222 VISUB. PHILIPS VISUB","45221082222","45221082222 VISUB. PHILIPS VISUB","used","For Sale","","","1",
"CATH","CATH","","GE","2200907-001. GE","2200907-001","2200907-001. GE","used","For Sale","","","1",
"CATH","CATH","","SIEMENS","4695367 FIBER OPTICAL CABLE. COROSKOP","4695367","4695367 FIBER OPTICAL CABLE. COROSKOP","used","For Sale","","","1",
"POWER SUPPLY","POWER SUPPLY","","COSEL","This COSEL ZUS 3 0505 power supply module, likely used in medical equipment, has part number PX77-96253.. COSEL","PX77-96253","This COSEL ZUS 3 0505 power supply module, likely used in medical equipment, has part number PX77-96253.. COSEL","used","For Sale","","","1",
"MONITOR","MONITOR","","GE"," 5323571-2 FlexScan S1923. New . GE","5323571-2"," 5323571-2 FlexScan S1923. New . GE","used","For Sale","","","1",
"CATH","CATH","","GE ","2173594-a 2100107. GE ADVANTIX","","2173594-a 2100107. GE ADVANTIX","used","For Sale","","","1",
"CATH","CATH","","SIEMENS","8719023 D8. SIEMENS","8719023","8719023 D8. SIEMENS","used","For Sale","","","1",
"CATH","CATH","","SIEMENS","This is an IVK medical equipment part, possibly a power supply or control unit, with material number 10521000 and serial number PS311024020.. IVK","10521000","This is an IVK medical equipment part, possibly a power supply or control unit, with material number 10521000 and serial number PS311024020.. IVK","used","For Sale","","","1",
"NUCLEAR","NUCLEAR","","SIEMENS","LPQ142 PS BY ASTEC. SYMBIAT2","LPQ142","LPQ142 PS BY ASTEC. SYMBIAT2","used","For Sale","","","1",
"X-RAY","X-RAY","","SIEMENS","AeroDR X-1 XG-BOX 2012 BY KONICA. LUMINOS","XG-BOX","AeroDR X-1 XG-BOX 2012 BY KONICA. LUMINOS","used","For Sale","","","1",
"CT","CT","","TOSHIBA","CONNECTOR BOX MSK-305-10800. AQUILION 16","MSK-305-10800","CONNECTOR BOX MSK-305-10800. AQUILION 16","used","For Sale","","","1",
"MRI","MRI","","GE","\M1085GA 1.5T 3\ \  ROUND COIL:)\  . GE","M1085GA","\M1085GA 1.5T 3\ \  ROUND COIL:)\  . GE","used","For Sale","","","1",
"CATH","CATH","","SIEMENS","QUANTUM 3.5 SERIES HDD. SIEMENS","QUANTUM 3.5 SERIES","QUANTUM 3.5 SERIES HDD. SIEMENS","used","For Sale","","","1",
"X-RAY","X-RAY","","SIEMENS","1171227 D160. ARISTOS","1171227","1171227 D160. ARISTOS","used","For Sale","","","1",
"CT","CT","","GE","5813-16-YG00PG 52CR-GE06-WDS-1740-Z60-M MOROT. RT","5813-16-YG00PG","5813-16-YG00PG 52CR-GE06-WDS-1740-Z60-M MOROT. RT","used","For Sale","","","1",
"CT","CT","","GE","5122696 TILT POT WITH HARNESS. LIGHSPEED RT 16","5122696","5122696 TILT POT WITH HARNESS. LIGHSPEED RT 16","used","For Sale","","","1",
"CT","CT","","","This ASTEC power supply, part number MP4-2Q-4LE-00 and P/N 73-540-0172, operates with an input of 100-240V~;7A MAX;50/60/400HZ, with a max output power of 400 Watts or 200-240V~; 7A MAX; 50/60/400HZ with a max output of 600 watts.","MP4-2Q-4LE-00","This ASTEC power supply, part number MP4-2Q-4LE-00 and P/N 73-540-0172, operates with an input of 100-240V~;7A MAX;50/60/400HZ, with a max output power of 400 Watts or 200-240V~; 7A MAX; 50/60/400HZ with a max output of 600 watts.","used","For Sale","","","1",
"X-RAY","X-RAY","","GE","2409241 2409242 DISPLAY CONTROLLER. AMX4+","2409241","2409241 2409242 DISPLAY CONTROLLER. AMX4+","used","For Sale","","","1",
"CATH","CATH","","SIEMENS","8584401 D50. SIEMENS","8584401","8584401 D50. SIEMENS","used","For Sale","","","1",
"C-ARM","C-ARM","","PHILIPS","XGC Pulse XGC Pulse 452212702938(452210534062). PHILIPS","452212702938","XGC Pulse XGC Pulse 452212702938(452210534062). PHILIPS","used","For Sale","","","1",
"CATH","CATH","","SIEMENS","SIEMENS medical equipment part with Model No. 10049274 and part number K835-A950-*-Z250.. SIEMENS ZEE","10049274","SIEMENS medical equipment part with Model No. 10049274 and part number K835-A950-*-Z250.. SIEMENS ZEE","used","For Sale","","","1",
"CATH","CATH","","GE","2236973 exabyte TAPE. GE","2236973","2236973 exabyte TAPE. GE","used","For Sale","","","1",
"CT","CT","","PHILIPS ","178141 GAM BOARD. PICKER","178141","178141 GAM BOARD. PICKER","used","For Sale","","","1",
"CATH","CATH","","GE","P9136WN OUT RLY SEL. GE","P9136WN","P9136WN OUT RLY SEL. GE","used","For Sale","","","1",
"X-RAY","X-RAY","","GE","5892927 COLLIMATOR . XRd D8000","5892927","5892927 COLLIMATOR . XRd D8000","used","For Sale","","","1",
"MAMMO","MAMMO","","GE ","45553694-2 STATOR BOARD 300 PL2. GE DMR+","45553694-2","45553694-2 STATOR BOARD 300 PL2. GE DMR+","used","For Sale","","","1",
"CT","CT","","PHILIPS","Philips DMS ASSY (Assembly) part, visible part numbers include 45901200211, 453570403371.. PHILIPS","45901200211","Philips DMS ASSY (Assembly) part, visible part numbers include 45901200211, 453570403371.. PHILIPS","used","For Sale","","","1",
"CT","CT","","TOSHIBA","COSEL power supply, model PBA1500F-24-F3, with an input of 100-240Vac 50-60Hz 19A and an output of 24V 70A (peak 105A).. TOSHIBA","PBA1500F-24","COSEL power supply, model PBA1500F-24-F3, with an input of 100-240Vac 50-60Hz 19A and an output of 24V 70A (peak 105A).. TOSHIBA","used","For Sale","","","1",
"MONITOR","MONITOR","","TOSHIBA","\Radiforce RS110 EIZO 19\ \  COLOR LCD \  . TOSHIBA","RS110","\Radiforce RS110 EIZO 19\ \  COLOR LCD \  . TOSHIBA","used","For Sale","","","1",
"CT","CT","","PHILIPS","453567302811 SPINDLEBLOK. BIGBORE","453567302811","453567302811 SPINDLEBLOK. BIGBORE","used","For Sale","","","1",
"CATH","CATH","","PHILIPS","medical, flat monitor with Item ID 652501C319955 and Serial Number AUEA0912007970.. PHILIPS","652501C319955","medical, flat monitor with Item ID 652501C319955 and Serial Number AUEA0912007970.. PHILIPS","used","For Sale","","","1",
"CATH","CATH","","SIEMENS","6379527 FOOT PEDAL. SIEMENS","6379527","6379527 FOOT PEDAL. SIEMENS","used","For Sale","","","1",
"CR/PRINTER","CR/PRINTER","","FUJI","118YX700 FFM6. FUJI FCR","118YX700","118YX700 FFM6. FUJI FCR","used","For Sale","","","1",
"PET/CT","PET/CT","","PHILIPS","405378-011 AC CHASIS. GEMINI TF","405378-011","405378-011 AC CHASIS. GEMINI TF","used","For Sale","","","1",
"CT","CT","","SEIMENS","7129047 D702. SENSATION 16","7129047","7129047 D702. SENSATION 16","used","For Sale","","","1",
"CATH","CATH","","GE ","ASC-BIU 92-005331-0 REV J-D-04. GE ADVANTIX","92-005331-0","ASC-BIU 92-005331-0 REV J-D-04. GE ADVANTIX","used","For Sale","","","1",
"CATH","CATH","","SIEMENS","3529471 BBC. POLYTRON","3529471","3529471 BBC. POLYTRON","used","For Sale","","","1",
"INJECTOR","INJECTOR","","GE","GE Healthcare injector system part, identified by the part number MD97554 and revision 98411-T-126 Rev B.. GE","MD97554","GE Healthcare injector system part, identified by the part number MD97554 and revision 98411-T-126 Rev B.. GE","used","For Sale","","","1",
"MRI","MRI","","HITACHI","MRPSC. AIRIS II CABINET","MRPSC","MRPSC. AIRIS II CABINET","used","For Sale","","","1",
"CT","CT","","GE","P9141WU-15 DMP. GE","P9141WU-15","P9141WU-15 DMP. GE","used","For Sale","","","1",
"CATH","CATH","","PHILIPS","452212802253 CONTROL. PHILIPS","452212802253","452212802253 CONTROL. PHILIPS","used","For Sale","","","1",
