Headline,Description,Manufacturer,Model,Part Number,Price,Quantity
"2214768-4 2120100-4 HELIOS 4 COLLIMATOR. LS16","2214768-4 2120100-4 HELIOS 4 COLLIMATOR. LS16","GE","","2214768-4","0","1"
"113Y7096 DRV11A. FUJI","113Y7096 DRV11A. FUJI","FUJI","","113Y7096","0","1"
"4819640 D230 X-RAY CONTROL CONSOLE. SIEMENS","4819640 D230 X-RAY CONTROL CONSOLE. SIEMENS","SIEMENS","","4819640","0","1"
"PIXIUM 4800 61744083 5/2007. THIS ONE IS ACUTALLY 2017 NEW DETECTOR INSIDE. SIEMENS","PIXIUM 4800 61744083 5/2007. THIS ONE IS ACUTALLY 2017 NEW DETECTOR INSIDE. SIEMENS","SIEMENS","","61744083","0","1"
"CCB010A 94V-0 NEMIC PS. KONICA","CCB010A 94V-0 NEMIC PS. KONICA","KONICA","","CCB010A","0","1"
"46-321336G1 PRE AMP. GE 1.0T","46-321336G1 PRE AMP. GE 1.0T","GE ","","46-321336G1","0","1"
"4371006 HCP. HICOR","4371006 HCP. HICOR","SIEMENS","","4371006","0","1"
"061-01305-0052 REV 01 BACKPLANE 452230008814. FD10","061-01305-0052 REV 01 BACKPLANE 452230008814. FD10","PHILIPS","","061-01305-0052","0","1"
" circuit board assembly with part number 459800542351 and barcode 2319190024, likely from a medical device."," circuit board assembly with part number 459800542351 and barcode 2319190024, likely from a medical device.","","","459800542351","0","1"
"7830602 7830610. SIEMENS","7830602 7830610. SIEMENS","SIEMENS","","7830602","0","1"
"This is likely a CT medical equipment part, possibly from GE, as indicated by 'GESTE' visible on the box.. GE","This is likely a CT medical equipment part, possibly from GE, as indicated by 'GESTE' visible on the box.. GE","GE","","","0","1"
"REF 2018 5396157 5396151 1.5T 12CH BODY ARRAY POSTERIOR . MR450","REF 2018 5396157 5396151 1.5T 12CH BODY ARRAY POSTERIOR . MR450","GE","","5396157","0","1"
"medical equipment circuit board with visible part number 02795693.. SIEMENS","medical equipment circuit board with visible part number 02795693.. SIEMENS","SIEMENS","","2795693","0","1"
"This is an NEC MultiSync LCD1980SXi LCD Monitor with model number LCD1980SXi and serial number 5310387.. NEC","This is an NEC MultiSync LCD1980SXi LCD Monitor with model number LCD1980SXi and serial number 5310387.. NEC","NEC","","LCD1980SXi","0","1"
"ELEVA MD IN3252HR DISTRIBUTION AMPLIER. PHILIPS","ELEVA MD IN3252HR DISTRIBUTION AMPLIER. PHILIPS","PHILIPS","","IN3252HR ","0","1"
"medical equipment part with part number PX79-35940-3 L Gantry Control Panel. Unknown","medical equipment part with part number PX79-35940-3 L Gantry Control Panel. Unknown","TOSHIBA","","PX79-35940-3","0","1"
"SIG Positec Berger Lahr RDM 264/50 L4A drive, with part number 52941015500.. BERGER LAHR","SIG Positec Berger Lahr RDM 264/50 L4A drive, with part number 52941015500.. BERGER LAHR","SIEMENS","","RDM 264/50","0","1"
"0477455 D51. ARISTOS","0477455 D51. ARISTOS","SIEMENS","","477455","0","1"
"K30017F NV-350 TDK-Lambda in 8366432. FLASH","K30017F NV-350 TDK-Lambda in 8366432. FLASH","SIEMENS","","K30017F","0","1"
" 3069319 LUST Antriebstechnik VF1204S, G10, FB, I6, M3 power supply unit with part number 030200513."," 3069319 LUST Antriebstechnik VF1204S, G10, FB, I6, M3 power supply unit with part number 030200513.","","","3069319","0","1"
" Philips Medical Systems R2D assembly bareboard, part number 4535 670 13401 Rev A and 4535 670 13371 Rev."," Philips Medical Systems R2D assembly bareboard, part number 4535 670 13401 Rev A and 4535 670 13371 Rev.","","","453567013401","0","1"
"SIEMENS part with model number 10187203 and serial number 2526.. SIEMENS Flash","SIEMENS part with model number 10187203 and serial number 2526.. SIEMENS Flash","SIEMENS","","10187203","0","1"
"2217038 2017039 OBC BACKPLANE. LIGHTSPEED 4","2217038 2017039 OBC BACKPLANE. LIGHTSPEED 4","GE","","2217038","0","1"
"21340009-F SUPPLY AND PARK COMMAND. GE ADVANTIX","21340009-F SUPPLY AND PARK COMMAND. GE ADVANTIX","GE ","","21340009-F","0","1"
"4355660 SCSI BUS EXT.. POLYTRON","4355660 SCSI BUS EXT.. POLYTRON","SIEMENS","","4355660","0","1"
"FI-G4GAX-ADC18/1 CPU BOARD. PRECEDENCE","FI-G4GAX-ADC18/1 CPU BOARD. PRECEDENCE","PHILIPS ","","FI-G4GAX-ADC18","0","1"
"PMDC 174654. UNKNOWN","PMDC 174654. UNKNOWN","PHILIPS","","PMDC","0","1"
"TOSHIBA VF-S9 series variable frequency drive, operating at 200V and 3.7kW.. TOSHIBA","TOSHIBA VF-S9 series variable frequency drive, operating at 200V and 3.7kW.. TOSHIBA","TOSHIBA","","TOSHIBA","0","1"
"PX77-96272 KEYPAD. TOSHIBA","PX77-96272 KEYPAD. TOSHIBA","TOSHIBA","","PX77-96272","0","1"
"470794 IMS ASSY. PHILIPS","470794 IMS ASSY. PHILIPS","PHILIPS","","470794","0","1"
"2150207-3-C COLLIMATOR COMMAND. GE ADVANTIX","2150207-3-C COLLIMATOR COMMAND. GE ADVANTIX","GE ","","2150207-3-C","0","1"
"5759134 INVERTER. ARISTOS","5759134 INVERTER. ARISTOS","SIEMENS","","5759134","0","1"
"This is a TOSHIBIA YWP5714*A circuit board with visible part numbers CNN-CP2 and KD ML-1.. TOSHIBA","This is a TOSHIBIA YWP5714*A circuit board with visible part numbers CNN-CP2 and KD ML-1.. TOSHIBA","TOSHIBA","","YWP5714","0","1"
"6242809. SIEMENS","6242809. SIEMENS","SIEMENS","","6242809","0","1"
"451210804382. PHILIP H5000","451210804382. PHILIP H5000","PHILIPS","","451210804382","0","1"
"CAP200P2 SP7E9143. KODAK 8900","CAP200P2 SP7E9143. KODAK 8900","KODAK","","CAP200P2","0","1"
" DELL component, potentially a power supply, with a part number likely including '8HJNB4J'."," DELL component, potentially a power supply, with a part number likely including '8HJNB4J'.","","","8HJNB4J","0","1"
"530002474-A SIGNAL BRUSH. SIEMENS","530002474-A SIGNAL BRUSH. SIEMENS","SIEMENS","","530002474-A","0","1"
" VICOR FLATPAC power supply, model VI-LU3-EW-01, with a serial number S/N: 07100816000028."," VICOR FLATPAC power supply, model VI-LU3-EW-01, with a serial number S/N: 07100816000028.","","","VI-LU3-EW-01","0","1"
"SF1005A-BV2 EMI FILTER. APERTO","SF1005A-BV2 EMI FILTER. APERTO","HITACHI","","SF1005A-BV2","0","1"
"8070757 GT080b001 gear set BY KENDRION. LUMINOS","8070757 GT080b001 gear set BY KENDRION. LUMINOS","SIEMENS","","8070757","0","1"
"LUMINOS  PCB, likely a control board, with part numbers including 01W6 26108, and model number 01662324.. SIEMENS","LUMINOS  PCB, likely a control board, with part numbers including 01W6 26108, and model number 01662324.. SIEMENS","SIEMENS","","1662324","0","1"
"TDK-Lambda NV-Power NV-350 power supply with product code K30017F and part number NV3SIS24.1B15.1_15.1DB15.1_5.25DB.. SIEMENS Flash","TDK-Lambda NV-Power NV-350 power supply with product code K30017F and part number NV3SIS24.1B15.1_15.1DB15.1_5.25DB.. SIEMENS Flash","SIEMENS","","K30017F ","0","1"
"46-264640G2. GE","46-264640G2. GE","GE","","46-264640G2","0","1"
"TOSHIBA Uninterruptible Power Supply, type UE362L636C61TC1, with serial number 066993651.. TOSHIBA","TOSHIBA Uninterruptible Power Supply, type UE362L636C61TC1, with serial number 066993651.. TOSHIBA","TOSHIBA","","UE362L636C61TC1","0","1"
"LAMBDA HR-11-48. GE","LAMBDA HR-11-48. GE","GE","","HR-11-48","0","1"
"MR450 GE medical equipment part, potentially a driver component, with part numbers 5186813 and 20040CT27.. GE","MR450 GE medical equipment part, potentially a driver component, with part numbers 5186813 and 20040CT27.. GE","GE","","5186813","0","1"
"This SGE-MEDICAL SYSTEMS part is a pressure sensor, model 5140589-5.. GE 3100","This SGE-MEDICAL SYSTEMS part is a pressure sensor, model 5140589-5.. GE 3100","GE ","","5140589-5.","0","1"
"N86D-8527-R501/01. GE PROFILE III","N86D-8527-R501/01. GE PROFILE III","GE ","","N86D-8527-R501","0","1"
"5154662 EXCITER/REF CLOCK. MR450","5154662 EXCITER/REF CLOCK. MR450","GE","","5154662","0","1"
"  a LUST Antriebstechnik drive, model CDA32.004, with a part number of 053801713 and various connection ports.","  a LUST Antriebstechnik drive, model CDA32.004, with a part number of 053801713 and various connection ports.","","","53801713","0","1"
"ELIF HZ4002-A. HITACHI","ELIF HZ4002-A. HITACHI","HITACHI","","HZ4002-A","0","1"
"2372485 2372486. GE","2372485 2372486. GE","GE","","2372485","0","1"
"Sun Microsystems","Sun Microsystems","","","","0","1"
"This GE Medical Systems part, manufactured by RAFI, has a part number 5189527-2 and 3.60.101.121/0000-34.. GE","This GE Medical Systems part, manufactured by RAFI, has a part number 5189527-2 and 3.60.101.121/0000-34.. GE","GE","","5189527-2","0","1"
"This Siemens spare part has model numbers 08363892 and 08363983.. SIEMENS Flash","This Siemens spare part has model numbers 08363892 and 08363983.. SIEMENS Flash","SIEMENS","","8363892","0","1"
"This is a component, possibly a battery, from an unidentified medical device, with the model number GXT4-3000RT230E.. SIEMENS FLASH","This is a component, possibly a battery, from an unidentified medical device, with the model number GXT4-3000RT230E.. SIEMENS FLASH","SIEMENS","","GXT4-3000RT230E","0","1"
"Innova part manufactured in August 2005,  type number 2372292.. GE","Innova part manufactured in August 2005,  type number 2372292.. GE","GE","","2372292","0","1"
"5123505 CABLE. PROFILD HD","5123505 CABLE. PROFILD HD","GE","","5123505","0","1"
"SPARC CPU-2CE WITH SPARC SBUS DOUGHTER. SIEMENS","SPARC CPU-2CE WITH SPARC SBUS DOUGHTER. SIEMENS","SIEMENS","","CPU-2CE","0","1"
"SIEMENS CT part, possibly a power supply or control unit, indicated by the 'ATTENTION! Dangerous capacitor voltage' sticker and labels like X12|CuBe, X11|HV_Adjustment, X2 | 230V.. SIEMENS","SIEMENS CT part, possibly a power supply or control unit, indicated by the 'ATTENTION! Dangerous capacitor voltage' sticker and labels like X12|CuBe, X11|HV_Adjustment, X2 | 230V.. SIEMENS","SIEMENS","","SIEMENS","0","1"
"9726316 D2. LUMINOS","9726316 D2. LUMINOS","SIEMENS","","9726316","0","1"
"MONITOR CABLE. PICKER","MONITOR CABLE. PICKER","PHILIPS ","","MONITOR","0","1"
"PX71-06802-1.022 SRU-H SH 03547011. TOSHIBA MULTI","PX71-06802-1.022 SRU-H SH 03547011. TOSHIBA MULTI","TOSHIBA ","","PX71-06802","0","1"
"CSC 60.0µF 440VAC/B capacitor, model number 325P606H44P37A4DIX, and part number 5240600.. SIEMENS","CSC 60.0µF 440VAC/B capacitor, model number 325P606H44P37A4DIX, and part number 5240600.. SIEMENS","SIEMENS","","5240600","0","1"
"451210805641. PHILIPS H5000","451210805641. PHILIPS H5000","PHILIPS ","","451210805641","0","1"
"This is an Infineon part labeled FF600R12KF4, possibly related to an inverter or power module.. Infineon","This is an Infineon part labeled FF600R12KF4, possibly related to an inverter or power module.. Infineon","PHILIPS","","FF600R12KF4","200","1"
"2362281 REV 0. STE","2362281 REV 0. STE","GE","","2362281","0","1"
"SIEMENS motor, part number 1FK7022-5AF01-1SV0-Z, potentially used in medical imaging equipment.. SIEMENS Flash","SIEMENS motor, part number 1FK7022-5AF01-1SV0-Z, potentially used in medical imaging equipment.. SIEMENS Flash","SIEMENS","","1FK7022-5AF01-1SV0-Z","0","1"
"digital receiver filter board with part number 2215143 REV, and includes components such as a TMS320C6201GJJC200 DSP and a SAMSUNG K7A403200B-0014 chip.. GE EXCITE","digital receiver filter board with part number 2215143 REV, and includes components such as a TMS320C6201GJJC200 DSP and a SAMSUNG K7A403200B-0014 chip.. GE EXCITE","GE ","","2215143","0","1"
"PC Board assembly, part number ARTWORK 4535 670 10311 REV C.","PC Board assembly, part number ARTWORK 4535 670 10311 REV C.","","","453567010311","0","1"
"Medrad Stellant injector system part, possibly a power supply, with the serial number 3007039 22545.. MEDRAD STELLANT","Medrad Stellant injector system part, possibly a power supply, with the serial number 3007039 22545.. MEDRAD STELLANT","MEDRAD","","3007039","0","1"
"2173598-A. GE","2173598-A. GE","GE","","2173598-A","0","1"
"MAGNIFICATION FLATFORM. GE","MAGNIFICATION FLATFORM. GE","GE","","MAGNIFICATION","0","1"
"This VAREX Imaging part is an X-ray tube component, type MCS-7078D, or CXB-750D with an insert serial number of 26934-1M. Manufactured Jan. 2021 with 302,608 seconds.. VAREX","This VAREX Imaging part is an X-ray tube component, type MCS-7078D, or CXB-750D with an insert serial number of 26934-1M. Manufactured Jan. 2021 with 302,608 seconds.. VAREX","TOSHIBA","","MCS-7078D","0","1"
"00-878381-01 REV C. OEC","00-878381-01 REV C. OEC","GE","","00-878381-01","0","1"
"This is an ESD GmbH TRD31 Rev 1.0 board, made in Germany with connector markings X5, X14, and X13.. ESD GmbH","This is an ESD GmbH TRD31 Rev 1.0 board, made in Germany with connector markings X5, X14, and X13.. ESD GmbH","SIEMENS","","TRD31 ","0","1"
"Flash spare part has model number 08365988 and serial number 8686.. SIEMENS","Flash spare part has model number 08365988 and serial number 8686.. SIEMENS","SIEMENS","","8365988","0","1"
"This is a 19"" LCD medical monitor, with model number DAC1913-D, and AC 100-240V power supply.. Unknown","This is a 19"" LCD medical monitor, with model number DAC1913-D, and AC 100-240V power supply.. Unknown","PHILIPS","","DAC1913-D","0","1"
"MR450 GE MRI magnet room interface board with part number 5166809 Rev: 4 and 111300-Made in USA 1/16/2009.. GE","MR450 GE MRI magnet room interface board with part number 5166809 Rev: 4 and 111300-Made in USA 1/16/2009.. GE","GE","","5166809","0","1"
"MITRA power supply, type SP0013/20 Z with part number 9413 000 13201.. PHILIPS","MITRA power supply, type SP0013/20 Z with part number 9413 000 13201.. PHILIPS","PHILIPS","","941300013201","0","1"
"Coil - QD Body  (S ）. AIRIS II","Coil - QD Body  (S ）. AIRIS II","HITACHI","","QD Body  (S ）","0","1"
"Flash X-Ray Filters TCO-B part with model number 10430701.. SIEMENS","Flash X-Ray Filters TCO-B part with model number 10430701.. SIEMENS","SIEMENS","","10430701","0","1"
"2102082-8-A 800 PL1 GANTRY POWER. GE","2102082-8-A 800 PL1 GANTRY POWER. GE","GE","","2102082-8-A","0","1"
"This is a SIEMENS spare part with Model No. 08363892 and Serial No. 13096.. SIEMENS FLASH","This is a SIEMENS spare part with Model No. 08363892 and Serial No. 13096.. SIEMENS FLASH","SIEMENS","","8363892","0","1"
"Dedicated Computing part with PN 2362872 andmodel number OEM-F3410GE and CPU part number CPU-P4X2800/533TP.. GE","Dedicated Computing part with PN 2362872 andmodel number OEM-F3410GE and CPU part number CPU-P4X2800/533TP.. GE","GE","","2362872","0","1"
"medical equipment part in a box labeled with P/N 11017, LOT NR. WO05694/E, and CUST.P/N 2407019.. GE","medical equipment part in a box labeled with P/N 11017, LOT NR. WO05694/E, and CUST.P/N 2407019.. GE","GE","","2407019","0","1"
"46-288422G1. GE","46-288422G1. GE","GE","","46-288422G1","0","1"
"452216702488. FD20","452216702488. FD20","PHILIPS","","452216702488","0","1"
"Philips medical system cable, possibly a part of an imaging system, with '1/11 A/B 81 150V FTI' printed on the cable.. PHILIPS","Philips medical system cable, possibly a part of an imaging system, with '1/11 A/B 81 150V FTI' printed on the cable.. PHILIPS","PHILIPS","","11 A/B 81 150V FTI","0","1"
"PATIENT BED LEAD SCREW PATIENT BED LEAD SCREW. PHILIPS iCT","PATIENT BED LEAD SCREW PATIENT BED LEAD SCREW. PHILIPS iCT","PHILIPS ","","","0","1"
"8457970 D131. SIEMENS","8457970 D131. SIEMENS","SIEMENS","","8457970","0","1"
"HOST 455011305081 DELL 690 1CPU WITH RAID. BRILLIANCE","HOST 455011305081 DELL 690 1CPU WITH RAID. BRILLIANCE","PHILIPS","","455011305081","0","1"
" Philips Medical Systems board with part number 4535 679 34461 and 709825 REV C."," Philips Medical Systems board with part number 4535 679 34461 and 709825 REV C.","","","4535 679 34461","0","1"
"SMALL LIGHT. AQUILION 16","SMALL LIGHT. AQUILION 16","TOSHIBA","","SMALL","0","1"
"2229623 164989 REV 28 D/C 2907 1336F-SPEN906A 1336-L7E  191219. LIGHSPEED RT 16","2229623 164989 REV 28 D/C 2907 1336F-SPEN906A 1336-L7E  191219. LIGHSPEED RT 16","GE","","2229623","0","1"
"Siemens Roehre/Tube OPTITOP 150/40/80 HC, with model numbers 3345209 and 3345233 visible.. SIEMENS","Siemens Roehre/Tube OPTITOP 150/40/80 HC, with model numbers 3345209 and 3345233 visible.. SIEMENS","SIEMENS","","3345209","0","1"
"46-186462CKT BD. LIGHTSPEED 4","46-186462CKT BD. LIGHTSPEED 4","GE","","46-186462CKT","0","1"
"This Siemens part, manufactured in February 2003, has a model number of 4808049 K1151 and serial/lot number of 01828S07.","This Siemens part, manufactured in February 2003, has a model number of 4808049 K1151 and serial/lot number of 01828S07.","","","4808049","0","1"
"Cisco 870 Series router with part numbers including Cisco 871, Cisco 877, Cisco 878 and PID VID: CISC0871-SEC-K9 V03.. Cisco","Cisco 870 Series router with part numbers including Cisco 871, Cisco 877, Cisco 878 and PID VID: CISC0871-SEC-K9 V03.. Cisco","CISCO","","CISC0871-SEC-K9 V03","0","1"
"VICOR FLATPAC power supply unit with model number VI-RU000-EWWW-01.","VICOR FLATPAC power supply unit with model number VI-RU000-EWWW-01.","","","VI-RU000-EWWW-01","0","1"
"This is a medical equipment circuit board containing SCHRACK RP820024 relays and part number 2114067 REV.001.. GE","This is a medical equipment circuit board containing SCHRACK RP820024 relays and part number 2114067 REV.001.. GE","GE","","2114067","0","1"
"PCI422-8-6/2 REV B2. GE","PCI422-8-6/2 REV B2. GE","GE","","PCI422-8-6","0","1"
"2242398-2 ACEM. DLS4","2242398-2 ACEM. DLS4","GE","","2242398-2","0","1"
"CT Patient Support Power PCB with part number 459800324921 Rev A, likely responsible for controlling vertical and horizontal movement and safety features.. PHILIPS","CT Patient Support Power PCB with part number 459800324921 Rev A, likely responsible for controlling vertical and horizontal movement and safety features.. PHILIPS","PHILIPS","","459800324921","0","1"
"KGTSP PX77-96262 C. AQUILION 16","KGTSP PX77-96262 C. AQUILION 16","TOSHIBA","","PX77-96262","0","1"
"2337735-5-SN FCIB V2. INNOVA 4100 DL3/RTAC3","2337735-5-SN FCIB V2. INNOVA 4100 DL3/RTAC3","GE","","2337735-5-SN","0","1"
"TK-UP289WSV KEYBOARD. KODAK","TK-UP289WSV KEYBOARD. KODAK","KODAK","","TK-UP289WSV","0","1"
"Infinity. KODAK","Infinity. KODAK","KODAK","","Infinity","0","1"
"2179860-2A 2179861 HFMRC CTRL. LIGHTSPEED 4","2179860-2A 2179861 HFMRC CTRL. LIGHTSPEED 4","GE","","2179860-2A","0","1"
"\2416329 2423194 HD HEAD . MR450","\2416329 2423194 HD HEAD . MR450","GE","","2416329","0","1"
"SIEMENS component with a Model No. 10589592 and Serial No. 2367, possibly a control or power module with X1 and X2 connectors, manufactured in 2015.. SIEMENS","SIEMENS component with a Model No. 10589592 and Serial No. 2367, possibly a control or power module with X1 and X2 connectors, manufactured in 2015.. SIEMENS","SIEMENS","","10589592","0","1"
"4371303. HICOR","4371303. HICOR","SIEMENS","","4371303","0","1"
"This is a QLogic PCI Express card with part number PX2510401-51 J and serial number RFD1438A09948.. TOSHIBA","This is a QLogic PCI Express card with part number PX2510401-51 J and serial number RFD1438A09948.. TOSHIBA","TOSHIBA","","PX2510401-51 ","0","1"
"OMEGA MML200 PS. SIEMENS","OMEGA MML200 PS. SIEMENS","SIEMENS","","MML200 ","0","1"
"This is an LTI Drives part, potentially a motor controller or drive unit, with part number CDF30.008,C2.4 and serial number 110700144.. SIEMENS Flash","This is an LTI Drives part, potentially a motor controller or drive unit, with part number CDF30.008,C2.4 and serial number 110700144.. SIEMENS Flash","SIEMENS","","CDF30.008","0","1"
"red Ametek/Hunter Spring reel, likely for general medical use, with model number 300156-2 and GE part number 5444444-2 REV 7.. GE","red Ametek/Hunter Spring reel, likely for general medical use, with model number 300156-2 and GE part number 5444444-2 REV 7.. GE","GE","","300156-2","0","1"
"circuit board with cables labeled SAT2-X12 and SAT2-X13, and a visible barcode 05151351221.","circuit board with cables labeled SAT2-X12 and SAT2-X13, and a visible barcode 05151351221.","","","SAT2-X12","0","1"
"PS SP509-2A 8E8545 REV B. GE","PS SP509-2A 8E8545 REV B. GE","GE","","SP509-2A","0","1"
"VR Controller PCB board, likely for an MRI system, manufactured by Teal Electronics Corp, identified by the part number 0800337 AO and version number 0300179 REV. A0.. TEAL Electronics Corp","VR Controller PCB board, likely for an MRI system, manufactured by Teal Electronics Corp, identified by the part number 0800337 AO and version number 0300179 REV. A0.. TEAL Electronics Corp","PHILIPS","","800337","0","1"
"50108403 20-050-0008. SIEMENS","50108403 20-050-0008. SIEMENS","SIEMENS","","50108403","0","1"
"4715MS-20T-B50 FAN. AIRIS II COMSOLE","4715MS-20T-B50 FAN. AIRIS II COMSOLE","HITACHI","","4715MS-20T-B50","0","1"
"MEDRAD injector system component, likely for contrast delivery, and has a serial number of 3007040 20464.. MEDRAD","MEDRAD injector system component, likely for contrast delivery, and has a serial number of 3007040 20464.. MEDRAD","MEDRAD","","3007040","0","1"
"1193304 COLIMATOR. SIEMENS","1193304 COLIMATOR. SIEMENS","SIEMENS","","1193304","0","1"
"5759613. SIEMENS","5759613. SIEMENS","SIEMENS","","5759613","0","1"
"S561 LEAD 6250257 S560 . SIEMENS","S561 LEAD 6250257 S560 . SIEMENS","SIEMENS","","6250257","0","1"
"GEYMS TCPU BD ASSY circuit board with part number 2349697-3 REV06 00436 5315 FLEX and a COSEL ZUS1R52405 power supply.. GE","GEYMS TCPU BD ASSY circuit board with part number 2349697-3 REV06 00436 5315 FLEX and a COSEL ZUS1R52405 power supply.. GE","GE","","2349697-3 ","0","1"
"This medical equipment part, manufactured in November 2014, has REF number 4598 003 27331, SN 002006 and ON 301002110.. ACHIEVA 3T","This medical equipment part, manufactured in November 2014, has REF number 4598 003 27331, SN 002006 and ON 301002110.. ACHIEVA 3T","PHILIPS","","459800327331","0","1"
"medical equipment part, possibly a power supply, with part numbers S22C0001173, 1425R04 C, and LPS22-C visible on a label.. PHILIPS","medical equipment part, possibly a power supply, with part numbers S22C0001173, 1425R04 C, and LPS22-C visible on a label.. PHILIPS","PHILIPS","","S22C0001173","0","1"
"INJECTOR HEAD","INJECTOR HEAD","","","3688","0","1"
"This Siemens medical equipment part has a model number of 8901410 REV02.. SIEMENS Flash","This Siemens medical equipment part has a model number of 8901410 REV02.. SIEMENS Flash","SIEMENS","","8901410","0","1"
"989601022081 COLLIMATOR FILTER 452216317103. FD1010","989601022081 COLLIMATOR FILTER 452216317103. FD1010","PHILIPS","","989601022081","0","1"
"3090016 VEGA650 Lambda PS K60029. SIEMENS EMOTION 6","3090016 VEGA650 Lambda PS K60029. SIEMENS EMOTION 6","SIEMENS","","3090016","0","1"
"ACS Motion Control. Philips","ACS Motion Control. Philips","PHILIPS","","ACS","0","1"
"452210701804 SCC2. PHILIPS H5000","452210701804 SCC2. PHILIPS H5000","PHILIPS ","","452210701804","0","1"
" VICOR FLATPAC power supply, model number VI-RUTTO-EVVU-01."," VICOR FLATPAC power supply, model number VI-RUTTO-EVVU-01.","","","VI-RUTTO-EVVU-01","0","1"
"PFC500-1024F POWER-ONE PS. PRECEDENCE","PFC500-1024F POWER-ONE PS. PRECEDENCE","PHILIPS ","","PFC500-1024F","0","1"
"Table part. circuit board with part number YWM1449*A and PX79-24252.. TOSHIBA","Table part. circuit board with part number YWM1449*A and PX79-24252.. TOSHIBA","TOSHIBA","","PX79-24252","0","1"
"This Siemens medical equipment circuit board has a model number of 08363413 and a serial number of 7637.. SIEMENS FLASH","This Siemens medical equipment circuit board has a model number of 08363413 and a serial number of 7637.. SIEMENS FLASH","SIEMENS","","8363413","0","1"
"8.8377.1480.0 PHICO 94C-0. COMPACT","8.8377.1480.0 PHICO 94C-0. COMPACT","AGFA","","8377","0","1"
"2336647 2336648 Table I/F Bd. XRd D8000","2336647 2336648 Table I/F Bd. XRd D8000","GE","","2336647","0","1"
"6363654/03. ANGIO computer","6363654/03. ANGIO computer","SIEMENS","","6363654","0","1"
"5237164 MSS3. POLYTRON","5237164 MSS3. POLYTRON","SIEMENS","","5237164","0","1"
"174650 CTCC. PICKER","174650 CTCC. PICKER","PHILIPS ","","174650","0","1"
"F8.5146.1448.X. AGFA","F8.5146.1448.X. AGFA","AGFA","","5146","0","1"
"451210781802. PHILIPS H5000","451210781802. PHILIPS H5000","PHILIPS ","","451210781802","0","1"
"TH9428 HP2 H 757 VR53 THOMSON TUBES ELECTRONIQUE. OEC","TH9428 HP2 H 757 VR53 THOMSON TUBES ELECTRONIQUE. OEC","GE","","TH9428","0","1"
"2108838 A. INNOVA 4100 DL3/RTAC3","2108838 A. INNOVA 4100 DL3/RTAC3","GE","","2108838","0","1"
"This is a power supply module, model HPF4A4A8M4, with an input of 47-63Hz and a maximum output of 2000 Watts.. HP","This is a power supply module, model HPF4A4A8M4, with an input of 47-63Hz and a maximum output of 2000 Watts.. HP","GE","","HPF4A4A8M4","0","1"
"PX17-41910 C PreProc BD. INFX-8000C/DFP-8000A","PX17-41910 C PreProc BD. INFX-8000C/DFP-8000A","TOSHIBA","","PX17-41910","0","1"
"ROFARAD medical part, possibly a sensor or switch, with part number 86008/A and date code 08 1 286.","ROFARAD medical part, possibly a sensor or switch, with part number 86008/A and date code 08 1 286.","","","ROFARAD","0","1"
"medical device circuit board with multiple connectors, a warning label indicating hazardous voltage, and an attached pinout diagram.. Unknown","medical device circuit board with multiple connectors, a warning label indicating hazardous voltage, and an attached pinout diagram.. Unknown","PHILIPS","","#N/A","0","1"
"KF21S/1S 87.1.68.0.03 FOOT PEDAL. GE","KF21S/1S 87.1.68.0.03 FOOT PEDAL. GE","GE","","KF21S","0","1"
"Medrad Injector System part, model SSMR 300, with serial number 3004213 12979, designed to operate between 100-240V.. MEDRAD","Medrad Injector System part, model SSMR 300, with serial number 3004213 12979, designed to operate between 100-240V.. MEDRAD","MEDRAD","","SSMR 300","0","1"
"power supply unit, possibly for medical equipment, assembled in Mexico, with part number MDSP1841G, and ECR # 34854.. GE","power supply unit, possibly for medical equipment, assembled in Mexico, with part number MDSP1841G, and ECR # 34854.. GE","GE","","MDSP1841G","0","1"
"medical equipment part with REF: 00300-10-001C and ON: 50450.0001.. PHILIPS","medical equipment part with REF: 00300-10-001C and ON: 50450.0001.. PHILIPS","PHILIPS","","00300-10-001C","0","1"
"2159-5000 REV B. PRECEDENCE","2159-5000 REV B. PRECEDENCE","PHILIPS ","","2159-5000","0","1"
"TOSHIBA circuit board, possibly from a medical device, with the part number YWM1605*A.. TOSHIBA","TOSHIBA circuit board, possibly from a medical device, with the part number YWM1605*A.. TOSHIBA","TOSHIBA","","YWM1605","0","1"
"2281482 LEFT DAS. LS4","2281482 LEFT DAS. LS4","GE","","2281482","0","1"
"Philips Medical Systems part with Type 9896 001 83333 and ON 400130172.. PHILIPS","Philips Medical Systems part with Type 9896 001 83333 and ON 400130172.. PHILIPS","PHILIPS","","989600183333","0","1"
"AD-7280S SONY DVD DRIVE. GE","AD-7280S SONY DVD DRIVE. GE","GE","","AD-7280S","0","1"
"TOSHIBA Uninterruptible Power Supply, TYPEFORM UC102LS24CSTEPINS, with serial number 54189997.. TOSHIBA","TOSHIBA Uninterruptible Power Supply, TYPEFORM UC102LS24CSTEPINS, with serial number 54189997.. TOSHIBA","TOSHIBA","","UC102LS24CSTEPINS","0","1"
"TOSHIBA 1600 EP Series UPS (Uninterruptible Power Supply) used to provide backup power.. TOSHIBA","TOSHIBA 1600 EP Series UPS (Uninterruptible Power Supply) used to provide backup power.. TOSHIBA","TOSHIBA","","1600 EP ","0","1"
